,Time_series,GSR,HR,timestamp,time2,subject,video_id
386,2141814,501,526,1754036181147,2025-08-01 13:46:21.147226+05:30,11,5
387,2141916,498,520,1754036181248,2025-08-01 13:46:21.248070+05:30,11,5
388,2142016,498,520,1754036181349,2025-08-01 13:46:21.349066+05:30,11,5
389,2142117,498,519,1754036181449,2025-08-01 13:46:21.449838+05:30,11,5
390,2142218,500,520,1754036181550,2025-08-01 13:46:21.550682+05:30,11,5
391,2142319,501,521,1754036181651,2025-08-01 13:46:21.651583+05:30,11,5
392,2142419,501,517,1754036181752,2025-08-01 13:46:21.752450+05:30,11,5
393,2142521,504,520,1754036181853,2025-08-01 13:46:21.853328+05:30,11,5
394,2142621,505,517,1754036181954,2025-08-01 13:46:21.954304+05:30,11,5
395,2142723,509,526,1754036182055,2025-08-01 13:46:22.055383+05:30,11,5
396,2142823,506,518,1754036182156,2025-08-01 13:46:22.156158+05:30,11,5
397,2142924,506,520,1754036182257,2025-08-01 13:46:22.257005+05:30,11,5
398,2143025,504,517,1754036182358,2025-08-01 13:46:22.358033+05:30,11,5
399,2143126,505,522,1754036182458,2025-08-01 13:46:22.458899+05:30,11,5
400,2143226,503,521,1754036182559,2025-08-01 13:46:22.559599+05:30,11,5
401,2143328,502,521,1754036182660,2025-08-01 13:46:22.660492+05:30,11,5
402,2143429,501,521,1754036182761,2025-08-01 13:46:22.761523+05:30,11,5
403,2143529,500,520,1754036182862,2025-08-01 13:46:22.862416+05:30,11,5
404,2143631,502,526,1754036182963,2025-08-01 13:46:22.963035+05:30,11,5
405,2143731,499,521,1754036183064,2025-08-01 13:46:23.063994+05:30,11,5
406,2143833,499,522,1754036183164,2025-08-01 13:46:23.164848+05:30,11,5
407,2143933,498,517,1754036183265,2025-08-01 13:46:23.265734+05:30,11,5
408,2144034,500,522,1754036183366,2025-08-01 13:46:23.366482+05:30,11,5
409,2144135,500,517,1754036183467,2025-08-01 13:46:23.467554+05:30,11,5
410,2144236,503,517,1754036183568,2025-08-01 13:46:23.568268+05:30,11,5
411,2144336,502,520,1754036183669,2025-08-01 13:46:23.669144+05:30,11,5
412,2144438,508,526,1754036183769,2025-08-01 13:46:23.769986+05:30,11,5
413,2144538,506,520,1754036183870,2025-08-01 13:46:23.870951+05:30,11,5
414,2144640,506,523,1754036183971,2025-08-01 13:46:23.971856+05:30,11,5
415,2144740,509,523,1754036184072,2025-08-01 13:46:24.072774+05:30,11,5
416,2144841,506,518,1754036184173,2025-08-01 13:46:24.173531+05:30,11,5
417,2144942,506,522,1754036184274,2025-08-01 13:46:24.274377+05:30,11,5
418,2145043,505,520,1754036184375,2025-08-01 13:46:24.375290+05:30,11,5
419,2145143,503,521,1754036184476,2025-08-01 13:46:24.476092+05:30,11,5
420,2145245,502,518,1754036184577,2025-08-01 13:46:24.577126+05:30,11,5
421,2145345,504,525,1754036184678,2025-08-01 13:46:24.678172+05:30,11,5
422,2145446,500,520,1754036184778,2025-08-01 13:46:24.778838+05:30,11,5
423,2145547,500,521,1754036184879,2025-08-01 13:46:24.879723+05:30,11,5
424,2145648,498,517,1754036184980,2025-08-01 13:46:24.980790+05:30,11,5
425,2145748,499,519,1754036185081,2025-08-01 13:46:25.081472+05:30,11,5
426,2145850,500,516,1754036185182,2025-08-01 13:46:25.182437+05:30,11,5
427,2145950,500,516,1754036185283,2025-08-01 13:46:25.283261+05:30,11,5
428,2146052,500,517,1754036185384,2025-08-01 13:46:25.384047+05:30,11,5
429,2146152,505,522,1754036185485,2025-08-01 13:46:25.485056+05:30,11,5
430,2146253,505,522,1754036185585,2025-08-01 13:46:25.585865+05:30,11,5
431,2146354,505,521,1754036185686,2025-08-01 13:46:25.686847+05:30,11,5
432,2146455,505,519,1754036185787,2025-08-01 13:46:25.787775+05:30,11,5
433,2146555,505,517,1754036185888,2025-08-01 13:46:25.888540+05:30,11,5
434,2146657,505,514,1754036185989,2025-08-01 13:46:25.989344+05:30,11,5
435,2146758,505,520,1754036186090,2025-08-01 13:46:26.090153+05:30,11,5
436,2146859,507,522,1754036186191,2025-08-01 13:46:26.191150+05:30,11,5
437,2146960,506,517,1754036186292,2025-08-01 13:46:26.292019+05:30,11,5
438,2147060,498,510,1754036186393,2025-08-01 13:46:26.392988+05:30,11,5
439,2147162,497,509,1754036186493,2025-08-01 13:46:26.493805+05:30,11,5
440,2147262,501,520,1754036186594,2025-08-01 13:46:26.594678+05:30,11,5
