Start,Border,End,Score
1752038702914,1752038707956,1752038712997,0.012404617211689284
1752038707956,1752038712997,1752038718039,4.385904330626823
1752038712997,1752038718039,1752038723081,0.5418867899001947
1752038718039,1752038723081,1752038728123,1.6580142709188834
1752038723081,1752038728123,1752038733165,3.703646282177704
1752038728123,1752038733165,1752038738206,3.0711613401779108
1752038733165,1752038738206,1752038743248,2.3192315370587564
1752038738206,1752038743248,1752038748290,0.013741600834256074
1752038743248,1752038748290,1752038753332,0.006710161007055793
1752038748290,1752038753332,1752038758373,8.802638323812673e-08
1752038753332,1752038758373,1752038763415,0.5254568213487976
1752038758373,1752038763415,1752038768457,0.9948623543203358
1752038763415,1752038768457,1752038773502,0.01303592247911567
1752038768457,1752038773502,1752038778546,0.3108016581925144
1752038773502,1752038778546,1752038783590,0.31773885374061384
1752038778546,1752038783590,1752038788634,0.010926393208461227
1752038783590,1752038788634,1752038793678,2.3127008116410397
1752038788634,1752038793678,1752038798722,0.011952500870159088
1752038793678,1752038798722,1752038803766,0.0032368567371444668
1752038798722,1752038803766,1752038808810,0.18140532014155913
1752038803766,1752038808810,1752038813854,0.9537847692304917
1752038808810,1752038813854,1752038818898,1.911900899930024
1752038813854,1752038818898,1752038823942,1.8235700121774008
1752038818898,1752038823942,1752038828986,6.549053643839224
1752038823942,1752038828986,1752038834030,3.1047948790789555
1752038828986,1752038834030,1752038839074,2.040128928438217
1752038834030,1752038839074,1752038844118,0.3788588287657617
1752038839074,1752038844118,1752038849162,8.06527766528755
1752038844118,1752038849162,1752038854206,0.3654884088047441
1752038849162,1752038854206,1752038859250,0.23660259187038202
1752038854206,1752038859250,1752038864294,2.9772765846241027
1752038859250,1752038864294,1752038869338,0.02457954291234149
1752038864294,1752038869338,1752038874382,0.01528280583870889
1752038869338,1752038874382,1752038879426,0.9959184936213239
1752038874382,1752038879426,1752038884470,0.011917504360925701
1752038879426,1752038884470,1752038889514,0.5001583158183537
1752038884470,1752038889514,1752038894558,0.009792453218036123
1752038889514,1752038894558,1752038899602,0.00253432685440641
1752038894558,1752038899602,1752038904646,0.012062636821870809
1752038899602,1752038904646,1752038909690,0.22089314019926348
1752038904646,1752038909690,1752038914734,0.002865968879869174
1752038909690,1752038914734,1752038919778,0.005289627963553478
1752038914734,1752038919778,1752038924823,0.005544600470882621
1752038919778,1752038924823,1752038929867,0.15405253448564143
1752038924823,1752038929867,1752038934911,7.777954858205338
1752038929867,1752038934911,1752038939955,0.01762050999317638
1752038934911,1752038939955,1752038944999,0.0020068659986703374
1752038939955,1752038944999,1752038950043,0.336694639337921
1752038944999,1752038950043,1752038955087,0.01777027404962872
1752038950043,1752038955087,1752038960131,3.022795773368646
1752038955087,1752038960131,1752038965175,1.3936488585604239
1752038960131,1752038965175,1752038970219,10.012873030869084
1752038965175,1752038970219,1752038975263,0.5069349867239136
1752038970219,1752038975263,1752038980307,1.0132278496354616
1752038975263,1752038980307,1752038985351,1.282687496648513
1752038980307,1752038985351,1752038990395,0.4104645089424377
1752038985351,1752038990395,1752038995439,0.1966493115362663
1752038990395,1752038995439,1752039000483,0.4135601053573331
1752038995439,1752039000483,1752039005527,0.7919510762954631
1752039000483,1752039005527,1752039010571,0.8235646411126264
1752039005527,1752039010571,1752039015615,0.5309954999852511
1752039010571,1752039015615,1752039020659,0.19243452835888963
1752039015615,1752039020659,1752039025703,0.8029370443347101
1752039020659,1752039025703,1752039030747,0.5527955808798549
1752039025703,1752039030747,1752039035791,0.31844672285641595
1752039030747,1752039035791,1752039040835,0.6253534971900002
1752039035791,1752039040835,1752039045879,0.008407934751633872
1752039040835,1752039045879,1752039050924,4.133586482024665e-05
1752039045879,1752039050924,1752039055967,0.008021855608690842
1752039050924,1752039055967,1752039061011,9.67070311053142e-08
1752039055967,1752039061011,1752039066055,0.012045218712922301
1752039061011,1752039066055,1752039071099,0.00010992751497518327
1752039066055,1752039071099,1752039076143,0.0031016036137350156
1752039071099,1752039076143,1752039081187,8.961389180717205e-08
1752039076143,1752039081187,1752039086231,0.003997310716009339
1752039081187,1752039086231,1752039091275,0.035244895112684915
1752039086231,1752039091275,1752039096319,0.01140528212778985
1752039091275,1752039096319,1752039101363,0.018595700089181155
1752039096319,1752039101363,1752039106407,0.575902890490509
1752039101363,1752039106407,1752039111451,1.4345041013950781
1752039106407,1752039111451,1752039116495,0.024691957715211266
1752039111451,1752039116495,1752039121539,0.013000988575212646
1752039116495,1752039121539,1752039126583,0.08926521094161666
1752039121539,1752039126583,1752039131627,0.0037787396962362663
1752039126583,1752039131627,1752039136672,0.008504893183418016
1752039131627,1752039136672,1752039141716,0.027291456708072537
1752039136672,1752039141716,1752039146760,6.875207965773011e-05
1752039141716,1752039146760,1752039151803,0.004524802894227686
1752039146760,1752039151803,1752039156847,0.010638663740323795
1752039151803,1752039156847,1752039161892,3.1508196973701263
1752039156847,1752039161892,1752039166936,0.4090167133197478
1752039161892,1752039166936,1752039171980,0.29773439567553706
1752039166936,1752039171980,1752039177024,1.1762038127150054
1752039171980,1752039177024,1752039182068,0.006370456736762009
1752039177024,1752039182068,1752039187112,0.009211632536779146
1752039182068,1752039187112,1752039192156,0.031231367876981442
1752039187112,1752039192156,1752039197200,0.05254593386988027
1752039192156,1752039197200,1752039202244,9.99312492366844e-05
1752039197200,1752039202244,1752039207288,0.011033718272530912
1752039202244,1752039207288,1752039212332,0.012040701225754125
1752039207288,1752039212332,1752039217376,0.01731086432627288
1752039212332,1752039217376,1752039222420,1.7882617652231878
1752039217376,1752039222420,1752039227464,0.019951058803645116
1752039222420,1752039227464,1752039232508,5.004744898984281e-05
1752039227464,1752039232508,1752039237552,0.5181856069532419
1752039232508,1752039237552,1752039242596,0.007729437049835086
1752039237552,1752039242596,1752039247640,0.013349918214316248
1752039242596,1752039247640,1752039252684,0.18740491516981345
1752039247640,1752039252684,1752039257728,0.06457734534512666
1752039252684,1752039257728,1752039262772,0.022507775400765095
1752039257728,1752039262772,1752039267816,0.6235772163102232
1752039262772,1752039267816,1752039272860,0.007082528689401124
1752039267816,1752039272860,1752039277904,0.0034153083921507066
1752039272860,1752039277904,1752039282949,0.27972018185771413
1752039277904,1752039282949,1752039287993,0.8198321995639613
1752039282949,1752039287993,1752039293037,1.0610523890953567
1752039287993,1752039293037,1752039298081,0.02105887608511453
1752039293037,1752039298081,1752039303125,0.3094514838417853
1752039298081,1752039303125,1752039308169,0.323584239595664
1752039303125,1752039308169,1752039313213,1.7769509969012276e-07
1752039308169,1752039313213,1752039318257,0.527427948099783
1752039313213,1752039318257,1752039323301,0.563983486239943
1752039318257,1752039323301,1752039328345,0.02719196167037491
1752039323301,1752039328345,1752039333389,0.0016259278960046308
1752039328345,1752039333389,1752039338433,0.5363040693197517
1752039333389,1752039338433,1752039343477,0.49978842912940835
1752039338433,1752039343477,1752039348521,0.0032658164539591805
1752039343477,1752039348521,1752039353566,0.003652859992550217
1752039348521,1752039353566,1752039358610,2.2445702968498793e-07
1752039353566,1752039358610,1752039363654,0.6790097132858766
1752039358610,1752039363654,1752039368698,4.541229738036798
1752039363654,1752039368698,1752039373742,0.008835195253451611
1752039368698,1752039373742,1752039378786,0.34278925883043665
1752039373742,1752039378786,1752039383830,0.19902489825302844
1752039378786,1752039383830,1752039388874,2.8908387200710095e-07
1752039383830,1752039388874,1752039393918,3.686331240260188e-10
1752039388874,1752039393918,1752039398962,0.31222538693021434
1752039393918,1752039398962,1752039404006,0.7233854482808114
1752039398962,1752039404006,1752039409050,0.30779406359151346
1752039404006,1752039409050,1752039414094,0.0038947794552966486
1752039409050,1752039414094,1752039419138,0.023132911359612707
1752039414094,1752039419138,1752039424182,7.528495766334631e-05
1752039419138,1752039424182,1752039429226,0.22928655866384884
1752039424182,1752039429226,1752039434270,7.063932211393009e-08
1752039429226,1752039434270,1752039439314,0.01509341324011837
1752039434270,1752039439314,1752039444358,1.9453207901069123
1752039439314,1752039444358,1752039449402,0.007444013808810823
1752039444358,1752039449402,1752039454446,0.24853309156840842
1752039449402,1752039454446,1752039459490,0.03943330631697384
1752039454446,1752039459490,1752039464534,0.4040163504797645
1752039459490,1752039464534,1752039469578,0.018192633214750287
1752039464534,1752039469578,1752039474622,0.008249780456557165
1752039469578,1752039474622,1752039479666,0.010279930194732723
1752039474622,1752039479666,1752039484710,0.003398291112182872
1752039479666,1752039484710,1752039489754,0.0043236337357406285
1752039484710,1752039489754,1752039494798,0.5413644467990447
1752039489754,1752039494798,1752039499842,0.08927572558701025
1752039494798,1752039499842,1752039504886,2.3673853385808297e-05
1752039499842,1752039504886,1752039509930,4.77969749890228e-08
1752039504886,1752039509930,1752039514974,0.4589582235765257
1752039509930,1752039514974,1752039520018,1.7999118562845644
1752039514974,1752039520018,1752039525062,3.36495390994071
1752039520018,1752039525062,1752039530106,0.006910174223349885
1752039525062,1752039530106,1752039535150,0.006040900780187097
1752039530106,1752039535150,1752039540194,0.007540174426021784
1752039535150,1752039540194,1752039545238,0.4097562442231328
1752039540194,1752039545238,1752039550282,0.004916058673665347
1752039545238,1752039550282,1752039555326,0.009230150944211146
1752039550282,1752039555326,1752039560371,4.0959211372064495
1752039555326,1752039560371,1752039565414,1.0600465825944454
1752039560371,1752039565414,1752039570459,0.013179332112632836
1752039565414,1752039570459,1752039575503,0.014225838027895787
1752039570459,1752039575503,1752039580546,0.20024423405000724
1752039575503,1752039580546,1752039585590,0.003759793585460469
1752039580546,1752039585590,1752039590634,0.0041047796299725214
1752039585590,1752039590634,1752039595679,1.919852473108996e-07
1752039590634,1752039595679,1752039600722,8.368640524153426e-05
1752039595679,1752039600722,1752039605766,3.1569783964734857
1752039600722,1752039605766,1752039610811,0.6618166419748162
1752039605766,1752039610811,1752039615855,0.23220875473414232
1752039610811,1752039615855,1752039620898,0.0045265388468302414
1752039615855,1752039620898,1752039625943,0.40511529944603575
1752039620898,1752039625943,1752039630986,0.5833045324437985
1752039625943,1752039630986,1752039636031,0.003436234671003069
1752039630986,1752039636031,1752039641075,0.008020344995491424
1752039636031,1752039641075,1752039646119,0.009181904872349878
1752039641075,1752039646119,1752039651163,0.9002852247440685
1752039646119,1752039651163,1752039656207,0.0036807482974012262
1752039651163,1752039656207,1752039661251,0.3691145373295564
1752039656207,1752039661251,1752039666295,0.32630980744565585
1752039661251,1752039666295,1752039671339,0.024497194147441614
1752039666295,1752039671339,1752039676383,0.8515684275215566
1752039671339,1752039676383,1752039681427,0.009610458551698453
1752039676383,1752039681427,1752039686471,0.009695439667251393
1752039681427,1752039686471,1752039691515,0.001956908462194873
1752039686471,1752039691515,1752039696559,2.517807136120931e-05
1752039691515,1752039696559,1752039701603,0.44272792706066433
1752039696559,1752039701603,1752039706647,0.22525726980194122
1752039701603,1752039706647,1752039711691,1.5017631294078626e-07
1752039706647,1752039711691,1752039716735,0.0045521788188664924
1752039711691,1752039716735,1752039721779,0.004535713161368249
1752039716735,1752039721779,1752039726823,0.014155919071928813
1752039721779,1752039726823,1752039731867,9.367767977996877e-08
1752039726823,1752039731867,1752039736911,0.007588959632545189
1752039731867,1752039736911,1752039741955,0.007779901488169372
1752039736911,1752039741955,1752039746999,0.018279240993535673
1752039741955,1752039746999,1752039752043,0.012328509779509056
1752039746999,1752039752043,1752039757088,0.004198959244934741
1752039752043,1752039757088,1752039762131,0.003925158401270001
1752039757088,1752039762131,1752039767176,0.00651329307013343
1752039762131,1752039767176,1752039772220,0.004279442148350077
1752039767176,1752039772220,1752039777263,0.24331648518682264
